SWEREFID	Stationskoordinat N/X	Stationskoordinat E/Y	Provdatum	Yr	Mo	Day	pH	Alk/Acid (mekv/l)	Cl (mekv/l)	TOC (mg/l)	Abs._F (420nm/5cm)	NO2+NO3-N (?g/l)	Tot-P (?g/l)	SO4* mekv/l	BC* mekv/l	ANC mekv/l
6788266-611834	6788266	611834	3375043200	2010	12	13	6.84	0.188	0.031	10	0.157	69	10	0.030807	0.292559	0.257071429
6788266-611834	6788266	611834	3378067200	2011	1	17	6.9	0.227	0.028	8.2	0.124	81	8	0.034116	0.331892	0.292214286
6788266-611834	6788266	611834	3380572800	2011	2	15	6.84	0.257	0.03	7.2	0.13	91	6	0.03791	0.33467	0.2905
6788266-611834	6788266	611834	3382992000	2011	3	15	6.83	0.27	0.03	6	0.102	99	7	0.03791	0.34167	0.296928571
6788266-611834	6788266	611834	3385324800	2011	4	11	6.8	0.272	0.036	6.5	0.1	130	7	0.040292	0.361004	0.311714286
6788266-611834	6788266	611834	3388348800	2011	5	16	6.81	0.202	0.034	8.5	0.138	156	10	0.036498	0.305226	0.257857143
6788266-611834	6788266	611834	3390940800	2011	6	15	6.93	0.166	0.033	8.4	0.125	81	9	0.032601	0.274337	0.236214286
6788266-611834	6788266	611834	3393878400	2011	7	19	7.06	0.18	0.025	8.1	0.11	25	9	0.030425	0.288225	0.256214286
6788266-611834	6788266	611834	3396211200	2011	8	15	6.93	0.195	0.024	7.8	0.109	25	8	0.029528	0.284336	0.253214286
6788266-611834	6788266	611834	3398803200	2011	9	14	6.89	0.196	0.023	8.2	0.122	36	8	0.026631	0.281447	0.252428571
6788266-611834	6788266	611834	3401654400	2011	10	17	7.06	0.203	0.026	8.8	0.131	60	11	0.027322	0.312114	0.280714286
6788266-611834	6788266	611834	3404160000	2011	11	15	7.03	0.198	0.028	8.4	0.132	81	8	0.027116	0.317892	0.285214286
6788266-611834	6788266	611834	3406492800	2011	12	12	7.03	0.206	0.033	7.5	0.135	85	7	0.028601	0.309337	0.274928571
6788266-611834	6788266	611834	3409516800	2012	1	16	7.11	0.238	0.034	7.1	0.122	94	8	0.033498	0.346226	0.306285714
6788266-611834	6788266	611834	3412540800	2012	2	20	6.88	0.26	0.034	6.9	0.121	102	7	0.035498	0.366226	0.323714286
6788266-611834	6788266	611834	3414614400	2012	3	15	6.85	0.268	0.031	6	0.105	98	5	0.034807	0.369559	0.328
6788266-611834	6788266	611834	3417379200	2012	4	16	7.15	0.265	0.035	6	0.095	112	6	0.036395	0.353115	0.309
6788266-611834	6788266	611834	3419884800	2012	5	15	7.07	0.231	0.036	7	0.107	104	8	0.034292	0.329004	0.287571429
6788266-611834	6788266	611834	3422822400	2012	6	18	6.81	0.18	0.032	8	0.129	47	24	0.030704	0.280448	0.246642857
6788266-611834	6788266	611834	3425241600	2012	7	16	7.07	0.175	0.029	8	0.121	32	9	0.029013	0.275781	0.244714286
6788266-611834	6788266	611834	3428265600	2012	8	20	6.92	0.183	0.027	8	0.125	32	8	0.027219	0.278003	0.248714286
6788266-611834	6788266	611834	3430684800	2012	9	17	7.11	0.196	0.026	7.9	0.119	47	9	0.027322	0.290114	0.259642857
6788266-611834	6788266	611834	3433104000	2012	10	15	7.02	0.191	0.03	7.5	0.125	58	9	0.02691	0.25667	0.225857143
6788266-611834	6788266	611834	3436214400	2012	11	20	6.97	0.192	0.031	9	0.153	71	8	0.030807	0.295059	0.259428571
6788266-611834	6788266	611834	3438547200	2012	12	17	6.98	0.193	0.033	9.2	0.15	76	11	0.032601	0.296137	0.258371429
6788266-611834	6788266	611834	3441139200	2013	1	16	6.88	0.211	0.034	8.1	0.138	76	8	0.034498	0.294126	0.254471429
6788266-611834	6788266	611834	3443990400	2013	2	18	6.76	0.235	0.032	7.2	0.124	78	8	0.036704	0.318548	0.276528571
6788266-611834	6788266	611834	3446409600	2013	3	18	6.83	0.26	0.035	7.4	0.104	92	12	0.037395	0.329815	0.286128571
6788266-611834	6788266	611834	3448828800	2013	4	15	6.82	0.267	0.036	5.8	0.096	110	13	0.038292	0.361204	0.315342857
6788266-611834	6788266	611834	3451420800	2013	5	15	6.98	0.216	0.058	7.7	0.118	188	12	0.038026	0.328862	0.277871429
6788266-611834	6788266	611834	3454272000	2013	6	17	7.07	0.199	0.04	7.6	0.122	94	11	0.03788	0.29446	0.250185714
6788266-611834	6788266	611834	3456691200	2013	7	15	6.93	0.207	0.034	7	0.096	36	9	0.034498	0.289626	0.252828571
6788266-611834	6788266	611834	3459369600	2013	8	15	7.09	0.207	0.031	6.9	0.09	33	11	0.030807	0.292659	0.259742857
6788266-611834	6788266	611834	3462134400	2013	9	16	7.06	0.213	0.03	7	0.1	28	8	0.03191	0.29737	0.2637
6788266-611834	6788266	611834	3464640000	2013	10	15	7.04	0.213	0.029	7	0.099	75	7	0.031013	0.300081	0.263942857
6788266-611834	6788266	611834	3467232000	2013	11	14	7.07	0.208	0.03	7.3	0.102	90	7	0.03091	0.30397	0.266871429
6788266-611834	6788266	611834	3469651200	2013	12	12	7.02	0.206	0.031	6.7	0.106	92	8	0.031807	0.290159	0.252028571
6788266-611834	6788266	611834	3472588800	2014	1	15	6.87	0.215	0.035	7.2	0.115	94	7	0.032395	0.308015	0.269185714
6788266-611834	6788266	611834	3475094400	2014	2	13	6.88	0.228	0.035	7	0.113	88	6.6	0.036395	0.324115	0.281714286
6788266-611834	6788266	611834	3477513600	2014	3	13	6.83	0.246	0.036	6.1	0.101	109	6	0.038292	0.341604	0.295814286
6788266-611834	6788266	611834	3480364800	2014	4	15	6.96	0.236	0.036	6.7	0.111	79	6.5	0.038292	0.332204	0.288557143
6788266-611834	6788266	611834	3482956800	2014	5	15	7.07	0.224	0.037	6.5	0.099	68	5.9	0.035189	0.316993	0.277242857
6788266-611834	6788266	611834	3485721600	2014	6	16	7.11	0.189	0.025	6.8	0.108	15	7.2	0.028425	0.278125	0.248828571
6788266-611834	6788266	611834	3488313600	2014	7	16	7.11	0.189	0.025	7	0.101	1.5	21.7	0.027425	0.269625	0.242292857
6788266-611834	6788266	611834	3490732800	2014	8	13	7.06	0.2	0.026	6.9	0.086	5	10.3	0.027322	0.276614	0.249142857
6788266-611834	6788266	611834	3493584000	2014	9	15	7.08	0.21	0.024	6.1	0.09	19	7.8	0.026528	0.283636	0.255942857
6788266-611834	6788266	611834	3496176000	2014	10	15	7.05	0.208	0.025	6.5	0.094	45	7.9	0.027425	0.301625	0.271185714
6788266-611834	6788266	611834	3499027200	2014	11	17	6.9	0.175	0.028	9.5	0.162	49	9.8	0.030116	0.289592	0.2562
6788266-611834	6788266	611834	3501532800	2014	12	16	6.89	0.154	0.031	10	0.174	48	7.5	0.032807	0.273759	0.237771429
6788266-611834	6788266	611834	3504124800	2015	1	15	6.81	0.181	0.032	9.6	0.159	52	6.2	0.035704	0.299048	0.259885714
6788266-611834	6788266	611834	3506889600	2015	2	16	6.8	0.226	0.031	7.7	0.128	64	6.2	0.037807	0.333459	0.291328571
6788266-611834	6788266	611834	3509308800	2015	3	16	6.81	0.254	0.036	7	0.11	97	5.9	0.039292	0.353104	0.307171429
6788266-611834	6788266	611834	3511900800	2015	4	15	6.97	0.247	0.039	6.8	0.113	111	7.9	0.039983	0.372771	0.325171429
6788266-611834	6788266	611834	3514752000	2015	5	18	7.07	0.215	0.038	7.5	0.116	76	8.2	0.037086	0.320482	0.278271429
6788266-611834	6788266	611834	3517257600	2015	6	16	7.03	0.167	0.027	7.6	0.123	26	8	0.029219	0.253603	0.222742857
6788266-611834	6788266	611834	3519763200	2015	7	15	6.92	0.159	0.028	7.2	0.118	10	9.1	0.027116	0.241792	0.214185714
6788266-611834	6788266	611834	3522614400	2015	8	17	6.99	0.166	0.024	7.4	0.117	11	9	0.026528	0.232336	0.205214286
6788266-611834	6788266	611834	3525033600	2015	9	14	6.82	0.164	0.024	7.7	0.125	37	8.5	0.025528	0.254136	0.226157143
6788266-611834	6788266	611834	3527625600	2015	10	14	6.96	0.18	0.024	7.7	0.122	38	7.3	0.026528	0.273536	0.244485714
6788266-611834	6788266	611834	3530476800	2015	11	16	6.98	0.183	0.025	7.5	0.134	41	6.1	0.026425	0.274525	0.245371429
6788266-611834	6788266	611834	3532982400	2015	12	15	7.03	0.197	0.028	7.6	0.132	50	6.8	0.028116	0.317192	0.285728571
6788266-611834	6788266	611834	3535920000	2016	1	18	6.89	0.216	0.031	7.4	0.125	62	6.3	0.030807	0.324559	0.289571429
6788266-611834	6788266	611834	3538339200	2016	2	15	6.84	0.244	0.031	6.4	0.107	64	5.4	0.032807	0.335559	0.298428571
6788266-611834	6788266	611834	3540844800	2016	3	15	6.9	0.272	0.034	6	0.092	76	5.4	0.036498	0.369226	0.327571429
6788266-611834	6788266	611834	3543782400	2016	4	18	6.96	0.276	0.0395	6.2	0.097	106	8.1	0.0399315	0.3541155	0.306928571
6788266-611834	6788266	611834	3546288000	2016	5	17	7.01	0.242	0.0384	6.6	0.107	84	6.9	0.0380448	0.3373376	0.2936
6788266-611834	6788266	611834	3548793600	2016	6	15	6.95	0.205	0.0358	7.4	0.117	46	10.2	0.0323126	0.3042262	0.268914286
6788266-611834	6788266	611834	3551817600	2016	7	20	7.13	0.198	0.0333	7.7	0.116	20	9.4	0.0295701	0.3050037	0.274271429
6788266-611834	6788266	611834	3554064000	2016	8	15	7.07	0.208	0.034	7.2	0.102	14	9	0.029498	0.292226	0.262
6788266-611834	6788266	611834	3556742400	2016	9	15	7.09	0.218	0.034	6.4	0.08	32	8.5	0.029498	0.296226	0.264714286
6788266-611834	6788266	611834	3559680000	2016	10	19	7.06	0.225	0.028	6.2	0.076	45	7.2	0.030116	0.312892	0.279785714
6788266-611834	6788266	611834	3562012800	2016	11	15	7.11	0.228	0.028	5.9	0.077	68	6.3	0.030116	0.314892	0.280142857
6788266-611834	6788266	611834	3564604800	2016	12	15	7.03	0.236	0.034	6.1	0.085	90	7	0.033498	0.332226	0.292571429
6788266-611834	6788266	611834	3567542400	2017	1	18	6.94	0.251	0.039	6.6	0.094	93	8	0.037983	0.365671	0.321357143
6788266-611834	6788266	611834	3570048000	2017	2	16	6.87	0.264	0.034	6.1	0.091	78	5.3	0.036498	0.347226	0.305428571
6788266-611834	6788266	611834	3572380800	2017	3	15	6.92	0.283	0.031	5.7	0.084	87	4.7	0.038807	0.374559	0.329785714
6788266-611834	6788266	611834	3575318400	2017	4	18	6.98	0.29	0.037	5.5	0.073	78	5.4	0.038189	0.368893	0.325428571
6788266-611834	6788266	611834	3577651200	2017	5	15	7.25	0.282	0.042	5.4	0.072	73	6.6	0.039674	0.363338	0.318785714
6788266-611834	6788266	611834	3580243200	2017	6	14	6.62	0.271	0.039	7.2	0.073	41		0.041983	0.360671	0.316071429
6788266-611834	6788266	611834	3583094400	2017	7	17	7.18	0.245	0.037	6.2	0.08	12	7.2	0.033189	0.337893	0.304142857
6788266-611834	6788266	611834	3585600000	2017	8	15	7	0.23	0.034	6	0.093	13	7.7	0.033498	0.318226	0.284071429
6788266-611834	6788266	611834	3588537600	2017	9	18	7	0.228	0.034	7.5	0.096	33	8	0.033498	0.314226	0.278642857
6788266-611834	6788266	611834	3591129600	2017	10	18	6.95	0.222	0.034	7.5	0.105	56	7.9	0.033498	0.330226	0.293
6788266-611834	6788266	611834	3593548800	2017	11	15	6.98	0.212	0.034	8.7	0.138	56	8.3	0.033498	0.329226	0.292
6788266-611834	6788266	611834	3595968000	2017	12	13	7	0.203	0.037	9	0.148	54	7.1	0.033189	0.316893	0.280142857
7326323-872437	7326323	872437	2651961600	1988	1	14	6.62	0.271	0.052	4.2	0.061	155	17	0.114644	0.430228	0.304928571
7326323-872437	7326323	872437	2654726400	1988	2	15	6.56	0.303	0.053	4.5	0.071	205	18	0.119541	0.468117	0.334357143
7326323-872437	7326323	872437	2657232000	1988	3	15	6.68	0.305	0.061	4	0.065	250	23	0.126717	0.495229	0.351142857
7326323-872437	7326323	872437	2660169600	1988	4	18	6.77	0.34	0.065	5.5	0.085	290	36	0.130305	0.521785	0.371285714
7326323-872437	7326323	872437	2662675200	1988	5	17	6.13	0.076	0.022	10.4	0.176	102	56	0.082734	0.248558	0.158714286
7326323-872437	7326323	872437	2665180800	1988	6	15	6.66	0.114	0.028	6.4	0.088	40	12	0.081116	0.277892	0.194142857
7326323-872437	7326323	872437	2667945600	1988	7	17	6.95	0.195	0.032	3.8	0.05	26	13	0.092704	0.365448	0.271142857
7326323-872437	7326323	872437	2670451200	1988	8	15	6.86	0.188	0.027	5.5	0.079	17	12	0.075219	0.336003	0.259785714
7326323-872437	7326323	872437	2673129600	1988	9	15	6.97	0.217	0.026	5.5	0.124	21	10	0.061322	0.346114	0.2835
7326323-872437	7326323	872437	2675462400	1988	10	12	6.72	0.166	0.04	6.5	0.113	46	11	0.09888	0.33856	0.236714286
7326323-872437	7326323	872437	2678486400	1988	11	16	6.95	0.257	0.046	6.3	0.084	90	13	0.097262	0.382894	0.279571429
7326323-872437	7326323	872437	2680992000	1988	12	15	6.7	0.304	0.057	5	0.062	140	19	0.113129	0.464673	0.342
7326323-872437	7326323	872437	2684534400	1989	1	25	6.74	0.313	0.049	4.3	0.056	190	9	0.112953	0.491561	0.365428571
7326323-872437	7326323	872437	2686780800	1989	2	20	6.82	0.336	0.053	3.6	0.055	180	11	0.113541	0.493117	0.367142857
7326323-872437	7326323	872437	2688854400	1989	3	16	6.86	0.344	0.065	4.9	0.055	230	15	0.130305	0.525785	0.379571429
7326323-872437	7326323	872437	2691792000	1989	4	19	6.76	0.33	0.078	3.8	0.059	290	37	0.168966	0.528342	0.339285714
7326323-872437	7326323	872437	2694297600	1989	5	18	6.26	0.08	0.025	12.7	0.172	17	28	0.067425	0.222225	0.153785714
7326323-872437	7326323	872437	2696716800	1989	6	15	6.73	0.137	0.03	6.1	0.087	17	14	0.08291	0.26167	0.177785714
7326323-872437	7326323	872437	2699308800	1989	7	15	6.93	0.191	0.029	5.2	0.046	10	22	0.069013	0.300781	0.231285714
7326323-872437	7326323	872437	2701987200	1989	8	15	6.77	0.182	0.031	4.3	0.05	6	13	0.075807	0.292559	0.216571429
7326323-872437	7326323	872437	2704665600	1989	9	15	6.97	0.229	0.035	7.1	0.044	13	17	0.080395	0.328115	0.247071429
7326323-872437	7326323	872437	2707344000	1989	10	16	6.91	0.226	0.045	3.8	0.058	38	13	0.106365	0.353005	0.244285714
7326323-872437	7326323	872437	2712700800	1989	12	17	6.85	0.328	0.06	4.9	0.075	131	30	0.12482	0.53934	0.405642857
7326323-872437	7326323	872437	2717884800	1990	2	15	6.77	0.288	0.053	2	0.027	167	9	0.092541	0.422117	0.318071429
7326323-872437	7326323	872437	2720304000	1990	3	15	6.72	0.338	0.058	2.6	0.045	220	20	0.129026	0.509562	0.365285714
7326323-872437	7326323	872437	2723155200	1990	4	17	6.67	0.33	0.068	1.9	0.047	275	22	0.145996	0.518452	0.353357143
7326323-872437	7326323	872437	2725574400	1990	5	15	6.48	0.137	0.032	5.3	0.136	43	27	0.086704	0.254448	0.164928571
7326323-872437	7326323	872437	2728252800	1990	6	15	6.69	0.18	0.039	4	0.068	18	29	0.077983	0.294671	0.215714286
7326323-872437	7326323	872437	2730931200	1990	7	16	6.6	0.182	0.028	3.3	0.055	27	14	0.100116	0.280892	0.179071429
7326323-872437	7326323	872437	2733523200	1990	8	15	6.81	0.204	0.03	3	0.059	20	10	0.07491	0.30767	0.231571429
7326323-872437	7326323	872437	2736201600	1990	9	15	6.89	0.228	0.032	3	0.059	27	8	0.078704	0.328448	0.248071429
7326323-872437	7326323	872437	2738793600	1990	10	15	6.88	0.216	0.042	3.1	0.06	56	20	0.093674	0.329338	0.232
7326323-872437	7326323	872437	2744236800	1990	12	17	6.83	0.309	0.055	3.2	0.052	137	11	0.115335	0.439895	0.315214286
7326323-872437	7326323	872437	2746828800	1991	1	16	6.79	0.324	0.058	2.7	0.052	179	16	0.132026	0.475562	0.331214286
7326323-872437	7326323	872437	2749680000	1991	2	18	6.77	0.375	0.065	2.4	0.053	251	28	0.145305	0.543785	0.381071429
7326323-872437	7326323	872437	2751753600	1991	3	14	6.85	0.405	0.067	2.9	0.071	292	27	0.135099	0.545563	0.390142857
7326323-872437	7326323	872437	2754518400	1991	4	15	6.63	0.342	0.083	2.9	0.058	336	28	0.178451	0.545787	0.344
7326323-872437	7326323	872437	2756937600	1991	5	13	6.49	0.147	0.033	7.5	0.219	66	32	0.113601	0.305337	0.187285714
7326323-872437	7326323	872437	2759443200	1991	6	11	6.63	0.159		6.7	0.117	66	22			
7326323-872437	7326323	872437	2762467200	1991	7	16	6.83	0.188	0.027	3.4	0.058	40	16	0.076219	0.293003	0.214142857
7326323-872437	7326323	872437	2764972800	1991	8	14	6.68	0.166	0.026	6.7	0.119	44	18	0.055322	0.281114	0.222857143
7326323-872437	7326323	872437	2770416000	1991	10	16	6.7	0.172	0.039	6	0.096	38	18	0.080983	0.305671	0.222285714
7326323-872437	7326323	872437	2772835200	1991	11	13	6.58	0.148	0.045	5.7	0.108	80	14	0.153365	0.350005	0.191285714
7326323-872437	7326323	872437	2775168000	1991	12	10	6.66	0.214	0.05	4.8	0.091	138	16	0.13285	0.40545	0.263142857
